sort_date,incident_date_raw,id,type,agency,title,incident_location,summary_short
2025-01-01,Late 2025,fbi-035-fbi-photo-b15,pdf,FBI,FBI Photo B15,Western United States,The Federal Bureau of Investigation (FBI) submitted a report of an unidentified anomalous phenomenon (UAP) to the All-domain Anomaly Resolution Office (AARO) consisting of a still image derived from a
2025-01-01,Late 2025,fbi-036-fbi-photo-b16,pdf,FBI,FBI Photo B16,Western United States,The Federal Bureau of Investigation (FBI) submitted a report of an unidentified anomalous phenomenon (UAP) to the All-domain Anomaly Resolution Office (AARO) consisting of a still image derived from a
2025-01-01,Late 2025,fbi-037-fbi-photo-b17,pdf,FBI,FBI Photo B17,Western United States,The Federal Bureau of Investigation (FBI) submitted a report of an unidentified anomalous phenomenon (UAP) to the All-domain Anomaly Resolution Office (AARO) consisting of a still image derived from a
2025-01-01,Late 2025,fbi-038-fbi-photo-b18,pdf,FBI,FBI Photo B18,Western United States,The Federal Bureau of Investigation (FBI) submitted a report of an unidentified anomalous phenomenon (UAP) to the All-domain Anomaly Resolution Office (AARO) consisting of a still image derived from a
2025-01-01,Late 2025,fbi-039-fbi-photo-b19,pdf,FBI,FBI Photo B19,Western United States,The Federal Bureau of Investigation (FBI) submitted a report of an unidentified anomalous phenomenon (UAP) to the All-domain Anomaly Resolution Office (AARO) consisting of a still image derived from a
2025-01-01,Late 2025,fbi-040-fbi-photo-b2,pdf,FBI,FBI Photo B2,Western United States,The Federal Bureau of Investigation (FBI) submitted a report of an unidentified anomalous phenomenon (UAP) to the All-domain Anomaly Resolution Office (AARO) consisting of a still image derived from a
2025-01-01,Late 2025,fbi-041-fbi-photo-b20,pdf,FBI,FBI Photo B20,Western United States,The Federal Bureau of Investigation (FBI) submitted a report of an unidentified anomalous phenomenon (UAP) to the All-domain Anomaly Resolution Office (AARO) consisting of a still image derived from a
2025-01-01,Late 2025,fbi-042-fbi-photo-b21,pdf,FBI,FBI Photo B21,Western United States,The Federal Bureau of Investigation (FBI) submitted a report of an unidentified anomalous phenomenon (UAP) to the All-domain Anomaly Resolution Office (AARO) consisting of a still image derived from a
2025-01-01,Late 2025,fbi-043-fbi-photo-b22,pdf,FBI,FBI Photo B22,Western United States,The Federal Bureau of Investigation (FBI) submitted a report of an unidentified anomalous phenomenon (UAP) to the All-domain Anomaly Resolution Office (AARO) consisting of a still image derived from a
2025-01-01,Late 2025,fbi-044-fbi-photo-b23,pdf,FBI,FBI Photo B23,Western United States,The Federal Bureau of Investigation (FBI) submitted a report of an unidentified anomalous phenomenon (UAP) to the All-domain Anomaly Resolution Office (AARO) consisting of a still image derived from a
